,Province/State,Confirmed
03/23/2020,OAXACA,2
03/23/2020,PUEBLA,16
03/23/2020,QUERETARO,14
03/23/2020,QUINTANA ROO,12
03/23/2020,SAN LUIS POTOSÍ,12
03/23/2020,SINALOA,4
03/23/2020,SONORA,3
03/23/2020,TABASCO,5
03/23/2020,TAMAULIPAS,3
03/23/2020,VERACRUZ,7
03/23/2020,YUCATÁN,18
03/23/2020,ZACATECAS,2
03/24/2020,AGUASCALIENTES,5
03/24/2020,BAJA CALIFORNIA,12
03/24/2020,BAJA CALIFORNIA SUR,2
03/24/2020,CAMPECHE,2
03/24/2020,CHIAPAS,3
03/24/2020,CHIHUAHUA,5
03/24/2020,CIUDAD DE MÉXICO,73
03/24/2020,COAHUILA,12
03/24/2020,COLIMA,2
03/24/2020,DURANGO,5
03/24/2020,GUANAJUATO,7
03/24/2020,GUERRERO,4
03/24/2020,HIDALGO,7
03/24/2020,JALISCO,43
03/24/2020,MICHOACÁN,3
03/24/2020,MORELOS,2
03/24/2020,MÉXICO,35
03/24/2020,NAYARIT,1
03/24/2020,NUEVO LEÓN,35
03/24/2020,OAXACA,3
03/24/2020,PUEBLA,19
03/24/2020,QUERETARO,16
03/24/2020,QUINTANA ROO,13
03/24/2020,SAN LUIS POTOSÍ,12
03/24/2020,SINALOA,4
03/24/2020,SONORA,4
03/24/2020,TABASCO,5
03/24/2020,TAMAULIPAS,4
03/24/2020,VERACRUZ,7
03/24/2020,YUCATÁN,19
03/24/2020,ZACATECAS,3
03/25/2020,AGUASCALIENTES,6
03/25/2020,BAJA CALIFORNIA,13
03/25/2020,BAJA CALIFORNIA SUR,2
03/25/2020,CAMPECHE,2
03/25/2020,CHIAPAS,3
03/25/2020,CHIHUAHUA,5
03/25/2020,CIUDAD DE MÉXICO,75
03/25/2020,COAHUILA,12
03/25/2020,COLIMA,2
03/25/2020,DURANGO,5
03/25/2020,GUANAJUATO,9
03/25/2020,GUERRERO,5
03/25/2020,HIDALGO,7
03/25/2020,JALISCO,45
03/25/2020,MICHOACÁN,7
03/25/2020,MORELOS,2
03/25/2020,MÉXICO,36
03/25/2020,NAYARIT,1
03/25/2020,NUEVO LEÓN,41
03/25/2020,OAXACA,4
03/25/2020,PUEBLA,21
03/25/2020,QUERETARO,16
03/25/2020,QUINTANA ROO,22
03/25/2020,SAN LUIS POTOSÍ,16
03/25/2020,SINALOA,4
03/25/2020,SONORA,4
03/25/2020,TABASCO,6
03/25/2020,TAMAULIPAS,5
03/25/2020,VERACRUZ,7
03/25/2020,YUCATÁN,19
03/25/2020,ZACATECAS,3
03/26/2020,AGUASCALIENTES,9
03/26/2020,BAJA CALIFORNIA,13
03/26/2020,BAJA CALIFORNIA SUR,2
03/26/2020,CAMPECHE,2
03/26/2020,CHIAPAS,3
03/26/2020,CHIHUAHUA,6
03/26/2020,CIUDAD DE MÉXICO,87
03/26/2020,COAHUILA,12
03/26/2020,COLIMA,2
03/26/2020,DURANGO,5
03/26/2020,GUANAJUATO,18
03/26/2020,GUERRERO,8
03/26/2020,HIDALGO,9
03/26/2020,JALISCO,45
03/26/2020,MICHOACÁN,8
03/26/2020,MORELOS,2
03/26/2020,MÉXICO,38
03/26/2020,NAYARIT,2
03/26/2020,NUEVO LEÓN,52
03/26/2020,OAXACA,7
03/26/2020,PUEBLA,35
03/26/2020,QUERETARO,16
03/26/2020,QUINTANA ROO,22
03/26/2020,SAN LUIS POTOSÍ,16
03/26/2020,SINALOA,4
03/26/2020,SONORA,4
03/26/2020,TABASCO,7
03/26/2020,TAMAULIPAS,5
03/26/2020,VERACRUZ,7
03/26/2020,YUCATÁN,26
03/26/2020,ZACATECAS,3
03/27/2020,AGUASCALIENTES,13
03/27/2020,BAJA CALIFORNIA,15
03/27/2020,BAJA CALIFORNIA SUR,5
03/27/2020,CAMPECHE,2
03/27/2020,CHIAPAS,4
03/27/2020,CHIHUAHUA,6
03/27/2020,CIUDAD DE MÉXICO,98
03/27/2020,COAHUILA,13
03/27/2020,COLIMA,2
03/27/2020,DURANGO,5
03/27/2020,GUANAJUATO,22
03/27/2020,GUERRERO,8
03/27/2020,HIDALGO,11
03/27/2020,JALISCO,62
03/27/2020,MICHOACÁN,11
03/27/2020,MORELOS,4
03/27/2020,MÉXICO,43
03/27/2020,NAYARIT,5
03/27/2020,NUEVO LEÓN,58
03/27/2020,OAXACA,8
03/27/2020,PUEBLA,42
03/27/2020,QUERETARO,21
03/27/2020,QUINTANA ROO,29
03/27/2020,SAN LUIS POTOSÍ,17
03/27/2020,SINALOA,8
03/27/2020,SONORA,8
03/27/2020,TABASCO,9
03/27/2020,TAMAULIPAS,6
03/27/2020,TLAXCALA,1
03/27/2020,VERACRUZ,14
03/27/2020,YUCATÁN,32
03/27/2020,ZACATECAS,3
03/28/2020,AGUASCALIENTES,19
03/28/2020,BAJA CALIFORNIA,20
03/28/2020,BAJA CALIFORNIA SUR,7
03/28/2020,CAMPECHE,2
03/28/2020,CHIAPAS,6
03/28/2020,CHIHUAHUA,6
03/28/2020,CIUDAD DE MÉXICO,111
03/28/2020,COAHUILA,14
03/28/2020,COLIMA,2
03/28/2020,DURANGO,7
03/28/2020,GUANAJUATO,30
03/28/2020,GUERRERO,8
03/28/2020,HIDALGO,12
03/28/2020,JALISCO,77
03/28/2020,MICHOACÁN,16
03/28/2020,MORELOS,4
03/28/2020,MÉXICO,67
03/28/2020,NAYARIT,5
03/28/2020,NUEVO LEÓN,63
03/28/2020,OAXACA,11
03/28/2020,PUEBLA,48
03/28/2020,QUERETARO,24
03/28/2020,QUINTANA ROO,29
03/28/2020,SAN LUIS POTOSÍ,18
03/28/2020,SINALOA,9
03/28/2020,SONORA,9
03/28/2020,TABASCO,21
03/28/2020,TAMAULIPAS,6
03/28/2020,TLAXCALA,4
03/28/2020,VERACRUZ,21
03/28/2020,YUCATÁN,37
03/28/2020,ZACATECAS,4
03/29/2020,AGUASCALIENTES,20
03/29/2020,BAJA CALIFORNIA,22
03/29/2020,BAJA CALIFORNIA SUR,9
03/29/2020,CAMPECHE,3
03/29/2020,CHIAPAS,6
03/29/2020,CHIHUAHUA,6
03/29/2020,CIUDAD DE MÉXICO,166
03/29/2020,COAHUILA,16
03/29/2020,COLIMA,2
03/29/2020,DURANGO,7
03/29/2020,GUANAJUATO,36
03/29/2020,GUERRERO,11
03/29/2020,HIDALGO,16
03/29/2020,JALISCO,82
03/29/2020,MICHOACÁN,17
03/29/2020,MORELOS,4
03/29/2020,MÉXICO,84
03/29/2020,NAYARIT,5
03/29/2020,NUEVO LEÓN,64
03/29/2020,OAXACA,12
03/29/2020,PUEBLA,56
03/29/2020,QUERETARO,25
03/29/2020,QUINTANA ROO,34
03/29/2020,SAN LUIS POTOSÍ,20
03/29/2020,SINALOA,14
03/29/2020,SONORA,10
03/29/2020,TABASCO,25
03/29/2020,TAMAULIPAS,7
03/29/2020,TLAXCALA,4
03/29/2020,VERACRUZ,23
03/29/2020,YUCATÁN,38
03/29/2020,ZACATECAS,4
03/30/2020,AGUASCALIENTES,24
03/30/2020,BAJA CALIFORNIA,26
03/30/2020,BAJA CALIFORNIA SUR,10
03/30/2020,CAMPECHE,3
03/30/2020,CHIAPAS,10
03/30/2020,CHIHUAHUA,6
03/30/2020,CIUDAD DE MÉXICO,199
03/30/2020,COAHUILA,32
03/30/2020,COLIMA,2
03/30/2020,DURANGO,7
03/30/2020,GUANAJUATO,37
03/30/2020,GUERRERO,13
03/30/2020,HIDALGO,17
03/30/2020,JALISCO,83
03/30/2020,MICHOACÁN,17
03/30/2020,MORELOS,6
03/30/2020,MÉXICO,112
03/30/2020,NAYARIT,5
03/30/2020,NUEVO LEÓN,67
03/30/2020,OAXACA,12
03/30/2020,PUEBLA,67
03/30/2020,QUERETARO,26
03/30/2020,QUINTANA ROO,38
03/30/2020,SAN LUIS POTOSÍ,24
03/30/2020,SINALOA,20
03/30/2020,SONORA,14
03/30/2020,TABASCO,33
03/30/2020,TAMAULIPAS,7
03/30/2020,TLAXCALA,4
03/30/2020,VERACRUZ,25
03/30/2020,YUCATÁN,42
03/30/2020,ZACATECAS,5
03/31/2020,AGUASCALIENTES,31
03/31/2020,BAJA CALIFORNIA,30
03/31/2020,BAJA CALIFORNIA SUR,12
03/31/2020,CAMPECHE,3
03/31/2020,CHIAPAS,11
03/31/2020,CHIHUAHUA,6
03/31/2020,CIUDAD DE MÉXICO,211
03/31/2020,COAHUILA,37
03/31/2020,COLIMA,2
03/31/2020,DURANGO,7
03/31/2020,GUANAJUATO,43
03/31/2020,GUERRERO,14
03/31/2020,HIDALGO,17
03/31/2020,JALISCO,88
03/31/2020,MICHOACÁN,21
03/31/2020,MORELOS,6
03/31/2020,MÉXICO,126
03/31/2020,NAYARIT,5
03/31/2020,NUEVO LEÓN,70
03/31/2020,OAXACA,14
03/31/2020,PUEBLA,76
03/31/2020,QUERETARO,27
03/31/2020,QUINTANA ROO,41
03/31/2020,SAN LUIS POTOSÍ,25
03/31/2020,SINALOA,24
03/31/2020,SONORA,17
03/31/2020,TABASCO,39
03/31/2020,TAMAULIPAS,8
03/31/2020,TLAXCALA,4
03/31/2020,VERACRUZ,27
03/31/2020,YUCATÁN,46
03/31/2020,ZACATECAS,6
04/01/2020,AGUASCALIENTES,36
