ObservationDay,Estado,Deaths
4/14/20,AGUASCALIENTES,1
4/15/20,CIUDAD DE MÉXICO,99
4/15/20,MÉXICO,43
4/15/20,SINALOA,38
4/15/20,PUEBLA,31
4/15/20,BAJA CALIFORNIA,28
4/15/20,QUINTANA ROO,27
4/15/20,TABASCO,21
4/15/20,CHIHUAHUA,20
4/15/20,COAHUILA,12
4/15/20,HIDALGO,12
4/15/20,MICHOACÁN,12
4/15/20,JALISCO,11
4/15/20,MORELOS,10
4/15/20,SONORA,9
4/15/20,GUERRERO,8
4/15/20,YUCATÁN,7
4/15/20,BAJA CALIFORNIA SUR,6
4/15/20,VERACRUZ,6
4/15/20,NAYARIT,5
4/15/20,QUERETARO,5
4/15/20,OAXACA,5
4/15/20,NUEVO LEÓN,5
4/15/20,GUANAJUATO,5
4/15/20,TLAXCALA,4
4/15/20,DURANGO,4
4/15/20,SAN LUIS POTOSÍ,4
4/15/20,TAMAULIPAS,4
4/15/20,CHIAPAS,3
4/15/20,CAMPECHE,2
4/15/20,ZACATECAS,2
4/15/20,AGUASCALIENTES,1
4/16/20,CIUDAD DE MÉXICO,110
4/16/20,MÉXICO,46
4/16/20,SINALOA,40
4/16/20,PUEBLA,32
4/16/20,BAJA CALIFORNIA,31
4/16/20,QUINTANA ROO,28
4/16/20,TABASCO,25
4/16/20,CHIHUAHUA,23
4/16/20,COAHUILA,15
4/16/20,MICHOACÁN,13
4/16/20,HIDALGO,12
4/16/20,JALISCO,11
4/16/20,MORELOS,10
4/16/20,SONORA,10
4/16/20,GUERRERO,9
4/16/20,YUCATÁN,7
4/16/20,BAJA CALIFORNIA SUR,6
4/16/20,GUANAJUATO,6
4/16/20,VERACRUZ,6
4/16/20,NAYARIT,5
4/16/20,QUERETARO,5
4/16/20,OAXACA,5
4/16/20,NUEVO LEÓN,5
4/16/20,TLAXCALA,4
4/16/20,DURANGO,4
4/16/20,SAN LUIS POTOSÍ,4 
4/16/20,TAMAULIPAS,4
4/16/20,CAMPECHE,3
4/16/20,CHIAPAS,3
4/16/20,ZACATECAS,2
4/16/20,AGUASCALIENTES,2
4/17/20,CIUDAD DE MÉXICO, 136
4/17/20,MÉXICO,49
4/17/20,SINALOA,43
4/17/20,PUEBLA,37
4/17/20,BAJA CALIFORNIA,33
4/17/20,QUINTANA ROO,31
4/17/20,TABASCO,27
4/17/20,CHIHUAHUA,26
4/17/20,COAHUILA,15
4/17/20,MICHOACÁN,14
4/17/20,HIDALGO,13
4/17/20,JALISCO,13
4/17/20,GUERRERO,11
4/17/20,MORELOS,10
4/17/20,SONORA,10
4/17/20,YUCATÁN,8
4/17/20,GUANAJUATO,7
4/17/20,VERACRUZ,7
4/17/20,BAJA CALIFORNIA SUR,6
4/17/20,QUERETARO,6
4/17/20,NAYARIT,5
4/17/20,NUEVO LEÓN,5
4/17/20,OAXACA,5
4/17/20,TAMAULIPAS,5
4/17/20,DURANGO,4
4/17/20,SAN LUIS POTOSÍ,4
4/17/20,TLAXCALA,4
4/17/20,CAMPECHE,3
4/17/20,CHIAPAS,3
4/17/20,AGUASCALIENTES,2
4/17/20,COLIMA,2
4/17/20,ZACATECAS,2
